Intercept,X1,X2,X3,Y
1.0,-1.0791818,-0.98377436,-1.5257199,0.0
1.0,0.052690666,-0.21014453,-0.008414272,1.0
1.0,0.15116756,-0.63937074,-0.25896427,0.0
1.0,-0.8710813,-0.82906437,-0.63238055,0.0
1.0,-0.5991117,-0.63103986,0.26891112,0.0
1.0,0.08402966,-0.20683801,-0.043591358,0.0
1.0,0.038251303,0.6476183,-0.012450248,1.0
1.0,0.7751642,0.1944876,-0.1792503,1.0
1.0,-1.2211448,-0.2486533,-0.581436,0.0
1.0,-0.8515608,-0.48675245,-0.78340447,0.0
1.0,1.9978088,1.3019712,2.2911227,1.0
1.0,-0.40528566,-0.950803,-1.0487955,0.0
1.0,0.91872156,0.40491626,0.88601947,1.0
1.0,-1.3176657,-0.71688473,-1.4986625,0.0
1.0,-0.7037323,-0.67101157,-0.85691756,0.0
1.0,-1.5107871,-1.4713409,-1.5434443,0.0
1.0,-1.8660494,-0.0008504391,-2.1545506,0.0
1.0,-0.33312216,-0.8385944,-1.3349808,0.0
1.0,0.30161873,-0.18781945,0.9751104,1.0
1.0,0.05943922,-0.14233801,-0.021529762,1.0
1.0,0.20341738,0.2656855,0.30168453,1.0
1.0,-0.79060656,-0.35845137,-0.7368113,0.0
1.0,0.06376409,-0.023954622,-0.48548335,0.0
1.0,-0.11837064,-0.7176071,0.18088073,0.0
1.0,0.355043,0.65052867,0.49125403,1.0
1.0,0.017072788,-1.2098352,-0.27363253,0.0
1.0,-0.4022896,-0.0031702518,0.9060136,1.0
1.0,1.1412649,0.94654727,0.91730946,1.0
1.0,-0.587555,-0.36423403,-0.29767585,0.0
1.0,-0.20247486,-0.32676315,-0.14311133,0.0
1.0,-0.6988933,-0.38945702,-0.4977536,0.0
1.0,-0.46184,-0.14790395,-0.97158444,0.0
1.0,-0.6771038,-0.63088703,-0.1796217,0.0
1.0,-2.0089412,-1.5494119,-1.7165625,0.0
1.0,1.2963325,0.2791232,1.2009478,1.0
