"Intercept","X3","X2","X2_X3","X1","X1_X3","X1_X2","X1_X2_X3"
1.41954446306081e-09,3.46232159385154e-09,0.000226557704577806,0.00169792441213363,7.55722393583322e-06,3.06595596285863e-05,0.0749750787903638,0.923062217427494
1.78525975757554e-08,3.68996177855004e-08,1.27578611436047e-05,2.38069761913648e-05,0.000890478684107154,0.00376167573447704,0.200840914635657,0.794470311356208
5.17045573496834e-05,1.91906328584114e-05,0.000568191817123406,0.000262265602081408,0.0245447031131271,0.0119126942101804,0.583737342728483,0.378903907338797
3.30235201127694e-08,1.63895830820011e-07,5.36565476020483e-08,3.19945613712097e-07,0.290228607803109,0.309504459966902,0.176549213758207,0.22371714795027
2.77141477476155e-09,2.25038039183242e-07,9.21106627236351e-08,1.41828750233408e-05,8.05018846276813e-05,0.0215472793703032,0.00168222579935359,0.976675490150575
8.3746203534196e-11,8.89717995239461e-10,2.40100625753756e-06,3.16738390653444e-05,0.000627996665360562,0.00276131966425944,0.134454088740524,0.86212251911107
1.05629855890724e-06,9.52362393088237e-07,5.95270642554094e-06,3.0305059729904e-06,0.0129238029373437,0.0289873497784302,0.460326122689009,0.497751732721867
2.71829816598405e-06,3.34131424739973e-06,4.60004792001827e-06,8.74104560545498e-06,0.147773532664156,0.334825923133839,0.116369770808465,0.401011372687601
0.00042921485086407,5.47099269884617e-05,0.119034114792714,0.0178151484138085,0.00156574487560863,0.000317168768617634,0.673249493388309,0.18753440498309
7.9905231763262e-07,3.72743767235122e-07,0.0040448516512942,0.00468777903296775,5.96776987102772e-05,0.000163931848932134,0.105326446859232,0.885716141112779
4.11236661082994e-08,1.63524490853037e-05,4.85500189971406e-09,4.01604351996685e-06,0.0103515963694159,0.561870194324555,0.00263054827270361,0.425127246562052
2.20334935060571e-09,7.37541300085499e-09,4.83099207468036e-09,1.03147573041403e-07,0.00240223350195107,0.0914206274695135,0.00262904445772753,0.90354797701348
1.51647877624538e-11,1.86729069306068e-09,1.50703844369622e-05,0.000170927882601101,2.49193963297366e-09,1.7057032153415e-07,0.152349997354336,0.84746382943391
6.36022351464725e-05,0.000809315147135615,0.000237498268694958,0.00342996773938951,0.0148366391838242,0.166971233582652,0.0575888846330509,0.756062859210106
2.42876104492466e-10,5.63099408021732e-08,5.83177955024769e-06,0.000184784876739514,3.32112202317646e-08,6.87258272885795e-05,0.00371921236298765,0.996021355389397
0.000575092151875348,0.00157335818442774,0.00558886989545029,0.03431900013991,0.029691712895574,0.111665588514407,0.0931382372163458,0.723448141002009
2.65030166714178e-11,3.18629243710199e-10,3.756763361636e-08,1.01206050555156e-06,5.96173616659461e-06,0.00024150768020823,0.0080744245721475,0.991677056038206
7.66352077767727e-07,8.48773099175569e-05,1.02797833622759e-06,0.000312735303069568,8.34107493924136e-05,0.0225211345135225,0.000689355189102499,0.976306692604581
