"Intercept","X3","X2","X2_X3","X1","X1_X3","X1_X2","X1_X2_X3"
7.26930675999445e-14,3.89489097397409e-09,7.00917687481666e-08,1.27490545364224e-05,0.0405425949644796,0.0647599809658046,0.50071719710424,0.393967403924206
2.33690203366153e-16,1.28867780270921e-10,5.67611329191815e-09,4.52333417313226e-05,2.49922594947521e-05,0.000860053782297462,0.0554886902229371,0.943581024588558
1.77371339166235e-09,0.00277890154013164,5.0207602418042e-06,0.00229711526091936,0.00474367319935429,0.850859802489789,0.00697726886287687,0.132338216112973
2.48973633161316e-17,1.69601911921169e-10,3.06347794186944e-06,0.00457325830654947,1.43104490960057e-08,9.91402071893801e-05,0.00534001710598715,0.989984506422281
2.61662164678212e-15,1.63285023351355e-12,4.05274667171964e-06,0.000259808022843282,7.726102954312e-07,6.74337801111787e-07,0.558871140801056,0.440863551479697
3.8479618675429e-12,1.54628785346563e-05,3.06640806438706e-08,7.84430917162952e-05,5.77647883779965e-05,0.574433116221672,0.00212492863995233,0.423290253711818
1.84935838538154e-14,2.56403059618505e-07,1.02511010022679e-08,7.19555270160015e-05,0.00375150103738818,0.165979121367597,0.0917335520191418,0.738463603394678
7.86470381855053e-05,0.000810605953056985,0.0257411777365718,0.0261038403710157,0.0313576434959671,0.0281891417589222,0.683036970807777,0.204681972838504
1.22415557089566e-07,0.000456580140655641,0.00211461906260518,0.0896875065478664,0.000528928089861308,0.0189758203211984,0.192907870134339,0.695328553287917
6.78197135343985e-10,8.10606067875009e-07,8.932871159153e-05,0.000295187538095802,0.00100770528660226,0.00137296478352276,0.846603255289521,0.150630747106401
2.53779144421867e-10,2.18238997498961e-06,0.00535860184921047,0.0883135920456585,0.000114157295484643,0.0023414538880398,0.280636755118146,0.623233257159707
3.07978626801396e-11,8.59209200300879e-07,1.28455762361803e-05,0.000609913836815276,0.021399380363727,0.146487063167973,0.320024506220905,0.511465431594345
3.65190442034461e-17,1.56712719209936e-07,3.50356193046924e-09,0.000402375550218521,2.59486031014882e-07,0.0963661963532547,0.000172451448962793,0.903058556945252
1.94839483253021e-12,3.54015068503585e-10,6.13825547537174e-08,3.063614345556e-07,0.00301975586539245,0.00771722136277205,0.644765686797004,0.344496967874879
2.08334426730857e-13,3.22058487995522e-06,7.69783074414679e-07,0.00592618736891716,4.67407305635844e-05,0.0178666139987398,0.0295521482218825,0.946604319311734
4.13694214865118e-18,4.27580785746531e-12,1.36722259917607e-07,0.0035610062422258,3.67144297530997e-11,6.98913171957139e-08,0.0017493952644596,0.994689391838747
6.24789885510733e-10,0.000193833778182301,6.63448014744466e-07,0.00101671871871715,0.00218524895501997,0.181830822846003,0.125328806176855,0.689443905452419
