target,intercept,X1,X2,X3,X4
1.0,1.0,2.0669088,-1.0701728,0.09943656,-0.35502303
0.0,1.0,-0.9941236,1.064503,0.32403487,-1.4029744
0.0,1.0,0.16035217,-0.9929863,-0.13490093,-2.6695397
1.0,1.0,1.611762,-0.29991394,-0.4508568,0.6042582
1.0,1.0,-0.09662552,0.527741,0.47244564,0.4188703
1.0,1.0,-1.311033,0.5124936,-0.329695,0.88163257
1.0,1.0,1.6538168,-0.19095951,1.8096049,-0.06254093
1.0,1.0,1.2411022,0.049094632,0.17445156,-1.9213986
1.0,1.0,0.56180334,-0.6138503,0.3473235,0.29449686
1.0,1.0,0.28021213,0.9652866,0.35425764,1.1876642
0.0,1.0,1.0021242,1.1071558,-2.7577753,-1.7671624
0.0,1.0,-0.63339984,-0.5811944,1.5795708,0.013843782
1.0,1.0,-0.05024673,-0.8836236,0.82213813,1.2120668
0.0,1.0,-0.57877046,-1.3574717,-0.20481117,1.180465
1.0,1.0,0.39389494,1.1314847,0.32464063,-1.149715
0.0,1.0,0.65573955,-1.0086781,0.5628233,-0.13771407
1.0,1.0,0.8006095,2.4206932,0.12655814,0.85931593
0.0,1.0,-2.6108124,1.2934833,-1.6168463,-2.041805
0.0,1.0,-0.42649448,0.6052538,0.40053385,-1.1336049
1.0,1.0,-0.8925862,0.14036044,0.62277174,0.66281575
0.0,1.0,0.7780423,-0.13144179,-0.6415469,-0.26084122
1.0,1.0,-0.9284656,1.7987759,-0.19326341,1.7402805
0.0,1.0,1.4136186,-0.29163602,-0.25230354,-2.0090814
1.0,1.0,1.164667,-1.8612729,0.34630382,1.9361053
0.0,1.0,-1.1742758,-1.183189,-1.0963248,-0.17621818
1.0,1.0,-0.17853406,0.9627812,-0.79812795,0.98544157
1.0,1.0,-0.046370275,0.94337523,-0.6409566,-0.90675163
0.0,1.0,-1.4154133,0.43210492,0.016824687,-0.9342856
0.0,1.0,0.5888134,-1.8765854,0.1827174,1.0271355
0.0,1.0,-0.75862145,-0.08157178,1.2110729,-0.4189049
0.0,1.0,-0.76967764,-0.28898287,-1.7845042,0.7212081
1.0,1.0,0.8648407,-0.72445995,-0.74031204,0.40770385
0.0,1.0,-0.98155326,0.71339494,-0.13109244,-0.018604113
1.0,1.0,-0.42290807,1.9403332,-0.9466061,-0.24148142
0.0,1.0,-2.4821343,0.59302455,-0.36269045,-0.9637539
1.0,1.0,2.046477,0.29669604,-1.3180283,-0.990355
1.0,1.0,-0.5243866,-2.0823975,1.552874,1.1893113
