target,intercept,X1,X2,X3,X4
1.0,1.0,0.7027886,-0.20257613,0.8639287,-0.8018239
0.0,1.0,-0.7462042,-1.0883142,-0.057612926,-1.262276
0.0,1.0,-1.2589062,-0.5780729,-0.91597736,-0.3276296
0.0,1.0,-1.6355251,-0.52339995,-1.4884677,-1.3059669
1.0,1.0,0.725502,-0.5800035,0.2988022,0.6353538
1.0,1.0,0.045364656,0.5496481,0.75305074,0.13937934
1.0,1.0,0.0060159722,-1.5607321,0.1146186,0.352216
1.0,1.0,1.2136565,-0.9588369,1.5704162,-1.4809829
0.0,1.0,-0.4411961,-0.7447086,0.4026621,-0.8674284
0.0,1.0,-0.6683426,0.06237611,0.10644919,-0.8715097
1.0,1.0,0.7452562,0.14006038,0.40302032,0.10017319
1.0,1.0,1.1547104,0.95985276,1.3137064,1.1079636
1.0,1.0,1.2227817,1.177252,0.2086494,1.9589103
1.0,1.0,0.07001575,1.1467501,1.4924356,0.42068756
1.0,1.0,1.3099428,-2.0922246,0.9666136,-0.24424705
1.0,1.0,1.1588557,-0.060567796,0.23715651,0.42879888
0.0,1.0,-1.0900607,-1.1003575,-2.303991,-1.4460645
1.0,1.0,-0.16340038,1.5980232,-0.09972608,0.2504509
0.0,1.0,-1.5919024,-0.071231544,-0.8527721,-1.1338313
1.0,1.0,1.0039914,1.5714122,0.1299038,1.1718354
0.0,1.0,-1.5197693,-1.8216968,-0.9291385,0.8225615
0.0,1.0,0.28523347,0.9504323,-0.13372132,-1.010999
1.0,1.0,1.8320642,1.6069489,0.51892006,2.5641036
1.0,1.0,-0.57421696,1.2790742,0.04180199,1.3093866
1.0,1.0,0.35881755,0.44981003,0.3201548,0.57175016
0.0,1.0,-0.8424428,-0.39294946,-1.2529566,-1.1503356
1.0,1.0,-0.07816847,-0.7996979,0.54215425,0.9172207
0.0,1.0,-0.7946588,-0.54848766,-0.41549796,0.050149202
0.0,1.0,-1.581848,-1.2816088,0.10147232,-0.3463976
0.0,1.0,0.44640133,-0.3212322,-0.046297014,-0.98300666
0.0,1.0,-1.5110662,-1.0506715,0.21872848,0.16427809
0.0,1.0,-0.6434153,0.34824717,0.29541576,-0.34933108
0.0,1.0,0.6018882,-1.250528,0.18845569,0.074877575
1.0,1.0,1.5910465,1.5304172,-0.17529714,0.52699274
0.0,1.0,1.316211,-0.5708298,-2.15198,0.028000861
0.0,1.0,-1.604228,0.02322501,-0.9239895,0.4875841
0.0,1.0,-0.7217293,-0.20789234,0.36776707,-1.4065877
1.0,1.0,0.44670373,1.0241613,0.5075415,0.2629537
0.0,1.0,-1.1620721,0.00077492,0.35950598,-1.6559509
1.0,1.0,-0.35430932,-0.561577,0.44007185,-0.60854626
1.0,1.0,0.6115133,0.18335068,-0.26077586,0.46484497
1.0,1.0,0.6695767,0.36203292,1.4279473,1.704499
1.0,1.0,0.8567724,0.7879148,0.7919451,0.14748979
1.0,1.0,-0.44206724,1.1370316,0.08779942,0.57675207
1.0,1.0,-0.6122596,0.4678092,0.9561342,0.26032746
0.0,1.0,-0.86678386,-1.5006895,0.41329843,-0.13709551
0.0,1.0,-0.07323176,-1.6582271,-2.0255542,-2.0410845
1.0,1.0,0.8647812,-1.213257,-0.23846817,-0.2465452
0.0,1.0,-0.3367994,-1.9291338,-0.59223056,-1.6659486
0.0,1.0,-0.77236867,-0.4002639,-0.9459263,-0.906295
0.0,1.0,-0.90226555,-0.85940474,0.044002295,-1.6849782
0.0,1.0,-0.5012116,-2.6385822,-1.3534608,-0.016138613
0.0,1.0,-0.18256901,-0.8468466,-0.49747485,0.8090267
0.0,1.0,-1.3679264,-0.75871754,0.97856945,0.58730054
0.0,1.0,-1.128348,-0.90742993,0.17236954,-1.2797613
0.0,1.0,-0.41423514,-1.0285314,-2.0406075,-1.3295938
0.0,1.0,0.45087525,0.30691922,-0.6161444,-0.7997166
0.0,1.0,-1.0200541,1.1594783,-1.1127665,-1.4766097
0.0,1.0,-1.1784338,-0.07745698,-1.5630876,1.3781404
1.0,1.0,1.2890636,-0.87921554,-0.31725284,0.020205172
0.0,1.0,-0.8308763,-0.647081,-0.5488354,0.30339158
0.0,1.0,0.19040473,-0.47077736,-0.2578159,1.125711
1.0,1.0,1.4535202,0.089072466,0.17103347,1.3786542
1.0,1.0,0.4558405,-0.23082392,1.4109912,1.0401852
0.0,1.0,-0.85301846,-1.3172431,-0.99724615,-1.2775706
0.0,1.0,-0.96910715,-0.72603446,0.20644403,-1.0819786
0.0,1.0,0.15610008,0.41683555,-0.80682325,-0.6459125
1.0,1.0,-0.9165886,0.19883102,-0.4757532,0.022800475
1.0,1.0,1.982967,0.782099,-0.23206115,-0.6656131
0.0,1.0,-0.75033677,-0.601742,-0.011443913,-0.43235397
1.0,1.0,0.4085485,0.44129747,2.5122905,1.5923018
1.0,1.0,0.120722584,1.5484563,-0.20686114,2.080362
1.0,1.0,0.59164095,0.37148663,1.6867068,0.07740766
1.0,1.0,0.121849775,1.5817019,1.4843282,-0.7027354
1.0,1.0,1.1365337,1.7347047,0.75380635,1.3339834
0.0,1.0,-0.119913034,-1.3980302,-2.8766112,-0.32328498
0.0,1.0,0.48562422,-0.75251544,-1.5100389,-1.447296
1.0,1.0,-0.030363683,1.3841262,0.29855663,-0.518662
0.0,1.0,-0.18800402,0.5746138,-0.22393575,0.63429
0.0,1.0,-0.2061718,-0.47909495,-0.6585839,-0.73640203
0.0,1.0,-0.57562715,-1.8377697,-1.3421898,-1.5097525
1.0,1.0,1.4483048,0.3383972,0.6999823,0.08643046
0.0,1.0,1.3469353,0.16883057,-1.3904834,-0.8451823
1.0,1.0,1.6238976,0.905457,1.1823158,0.30177575
1.0,1.0,0.59968036,0.2620238,-0.16046143,2.936563
0.0,1.0,-0.32708827,0.12957741,-0.5776413,-0.32258126
1.0,1.0,1.0246994,3.1485865,0.23276997,0.609242
1.0,1.0,0.5457518,1.3703907,-0.4861086,0.043500066
0.0,1.0,1.2386599,-1.4498959,-0.673154,-0.71209383
0.0,1.0,0.47105637,-0.031022862,-1.7003696,0.49565333
0.0,1.0,-0.035567798,-1.6526072,-0.42943573,-0.6975028
0.0,1.0,1.0360725,-0.20087415,-0.77148956,-2.5181694
1.0,1.0,-0.53256345,-0.7941405,0.98570514,0.8586302
1.0,1.0,1.9998503,0.81546843,0.2692275,-1.4921671
1.0,1.0,2.1533158,1.9445636,0.15708756,1.5832694
0.0,1.0,-0.80636513,0.6303098,-0.35460785,0.9010415
1.0,1.0,0.08846862,0.3806811,1.0182223,0.77032304
0.0,1.0,0.39439556,0.3003677,0.050665528,-0.5286819
1.0,1.0,1.3250388,1.5927157,1.2344319,3.43613
1.0,1.0,0.8579358,0.57708406,0.12651956,-0.20426059
